identifier,type,research_areas,creation_mode,completeness,number_of_resources,numer_of_views,number_of_downloads
293a5412-d1de-4c2e-9d51-6e467d08e493,Data-centric Research Object,['Earth sciences'],MANUAL,0,8,7,0
f02dc7aa-2824-4adf-8711-16dcb28ecaa1,Data-centric Research Object,"['Applied sciences', 'Climatology', 'Environmental research', 'Hydrology']",MANUAL,69,1,14,0
3939a208-64fc-4800-8b29-6a97676c7508,Data-centric Research Object,['Earth sciences'],MANUAL,0,4,93,10
6fa27870-c1a4-4386-8d51-855d5ac932e2,Executable Research Object,['Earth sciences'],MANUAL,84,10,42,6
59e63d12-57af-4bcd-8d8f-821b9e096b9b,Bibliography-centric Research Object,['Applied sciences'],MANUAL,77,2,21,4
ea5e95c4-9f22-4ce5-ba9a-22fc7257cd27,Bibliography-centric Research Object,['Applied sciences'],MANUAL,77,2,66,4
9da6e0fa-a824-4ff3-b0af-fa98aef14285,Bibliography-centric Research Object,"['Applied sciences', 'Earth observation', 'Hazard science']",MANUAL,92,2,53,9
0c6c5b80-9268-4851-8cec-1f9c49cb7f9f,Basic Research Object,"['Earth observation', 'Seismology']",MANUAL,82,2,131,11
13e6bbe1-ed1a-4e3d-879c-694f1bbab5a0,Basic Research Object,"['Earth observation', 'Seismology']",MANUAL,82,2,17,17
395893ed-5770-4027-a1ba-468b82d6de4a,Basic Research Object,['Volcanology'],MANUAL,68,5,13,7
9df7b289-2ac1-4c50-aa42-184df24dcafa,Data-centric Research Object,['Applied sciences'],MANUAL,84,3,64,12
d69df778-182b-4a58-b948-9e22073a7671,Executable Research Object,['Applied sciences'],MANUAL,84,8,71,1
7907dbf7-c03b-4e5c-b750-55410e82c5a1,Basic Research Object,"['Applied sciences', 'Earth observation', 'Earth sciences']",MANUAL,100,6,50,8
d9917937-2610-407d-bcdc-7b24d850c840,Basic Research Object,"['Applied sciences', 'Earth observation', 'Earth sciences']",MANUAL,100,5,23,1
e744c06f-087a-4456-9007-fd130464a2ab,Basic Research Object,"['Applied sciences', 'Earth observation', 'Earth sciences']",MANUAL,100,4,56,7
ce91c342-9009-4f7a-bfec-1358368feda7,Executable Research Object,"['Earth sciences', 'Environmental research', 'Volcanology']",MANUAL,84,17,27,6
0b1fcfe6-ab98-4df7-be19-e952de9776c6,Data-centric Research Object,['Applied sciences'],MANUAL,77,8,23,1
218d13bb-062a-4903-9559-9f7be4919590,Bibliography-centric Research Object,"['Applied sciences', 'Earth observation', 'Earth sciences']",MANUAL,62,35,23,4
88fba8bd-f2f0-402e-8147-b73b71e8691a,Bibliography-centric Research Object,['Applied sciences'],MANUAL,84,4,27,5
b62e5267-8fe1-4fe1-ada2-47e484c2b107,Basic Research Object,['Applied sciences'],MANUAL,100,11,5,1
e7c5bfac-0e6a-4691-9e52-f86975732218,Basic Research Object,['Applied sciences'],MANUAL,100,10,17,6
998dccd6-7192-4d88-af39-6018c71e6bdf,Executable Research Object,"['Applied sciences', 'Earth sciences', 'Environmental research']",MANUAL,100,17,48,6
eec6faaa-e133-47d4-b377-44f7d06a9654,Executable Research Object,"['Applied sciences', 'Earth sciences', 'Environmental research']",MANUAL,100,18,12,2
c797fdc7-0330-45de-8970-fedf5ee89cb1,Bibliography-centric Research Object,['Applied sciences'],MANUAL,100,5,9,1
2f352829-b3e1-45f3-99f2-786c52587485,Workflow-centric Research Object,"['Earth sciences', 'Environmental research']",MANUAL,84,9,12,7
4691cb04-70c5-4c7b-aa76-65850ddd509c,Workflow-centric Research Object,"['Earth sciences', 'Environmental research']",MANUAL,84,9,44,5
d5d3a3ed-7bc1-40b9-b2cd-0496f599d0fe,Data-centric Research Object,"['Applied sciences', 'Earth observation']",MANUAL,100,17,30,6
941ecf90-82ba-4c56-961b-2f727da5df78,Data-centric Research Object,"['Economic geography', 'Social sciences']",MANUAL,100,14,54,5
871a1786-bc6a-4e60-a160-3f57e3869d35,Basic Research Object,"['Applied sciences', 'Environmental research']",MANUAL,100,7,10,1
9ca6c1ca-a4bd-40d5-a199-c310f94edb0b,Basic Research Object,"['Applied sciences', 'Environmental research']",MANUAL,100,6,13,2
b167006f-4678-4b8a-8e8b-224befdd8038,Basic Research Object,"['Applied sciences', 'Environmental research']",MANUAL,100,6,5,1
107487d2-a9d5-4224-8b00-b321e133b6c8,Basic Research Object,"['Applied sciences', 'Climatology', 'Earth observation', 'Earth sciences', 'Environmental research']",MANUAL,100,8,15,1
b47069ec-f001-4783-8def-cbd54858f571,Basic Research Object,"['Applied sciences', 'Climatology', 'Earth observation', 'Earth sciences', 'Environmental research']",MANUAL,100,7,13,1
714c9088-075f-43fb-94e0-b397eb195343,Bibliography-centric Research Object,['Applied sciences'],MANUAL,77,7,8,13
df6591e6-c326-4d28-92fb-cb9d59786ac7,Executable Research Object,"['Applied sciences', 'Environmental research']",MANUAL,100,12,30,6
c2c64bf9-7625-4442-9ca9-dcd978b1d38b,Executable Research Object,"['Applied sciences', 'Environmental research', 'Oceanography']",MANUAL,100,5,17,21
