,F1.1.tool,F1.1.rocrate,F1.2.tool,F1.2.rocrate,F2.1.tool,F2.1.rocrate,F3.1.tool,F3.1.rocrate,F4.1.tool,F4.1.rocrate,A1.1.tool,A1.1.rocrate,A1.2.tool,A1.2.rocrate,A1.3.tool,A1.3.rocrate,I1.1.tool,I1.1.rocrate,I1.2.tool,I1.2.rocrate,I3.1.tool,I3.1.rocrate,R1.1.tool,R1.1.rocrate,R1.1.1.tool,R1.1.1.rocrate,R1.2.1.tool,R1.2.1.rocrate,R1.3.1.tool,R1.3.1.rocrate,R1.3.2.tool,R1.3.2.rocrate,components,identifier,type,creation_mode,completness,number_of_resources,number_of_views,number_of_downloads
0,5,0,0,5,2,0,0,0,0,5,2,0,2,3,0,0,2,3,2,3,0,5,0,1,2,0,2,0,2,3,0,1,5,3939a208-64fc-4800-8b29-6a97676c7508,Data-centric Research Object,MANUAL,0,4,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6fa27870-c1a4-4386-8d51-855d5ac932e2,Executable Research Object,MANUAL,84,8,18,0
2,3,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,3,0,2,3,0,3,0,3,0,0,0,3,ea5e95c4-9f22-4ce5-ba9a-22fc7257cd27,Bibliography-centric Research Object,MANUAL,77,2,3,0
3,3,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,3,0,2,3,0,3,0,3,0,0,0,3,59e63d12-57af-4bcd-8d8f-821b9e096b9b,Bibliography-centric Research Object,MANUAL,77,2,19,0
4,3,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,3,0,2,3,0,3,0,3,0,0,0,3,9da6e0fa-a824-4ff3-b0af-fa98aef14285,Bibliography-centric Research Object,MANUAL,92,2,35,1
5,3,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,3,0,2,3,0,3,0,3,0,0,1,3,0c6c5b80-9268-4851-8cec-1f9c49cb7f9f,Basic Research Object,MANUAL,82,2,108,7
6,3,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,3,0,2,3,0,3,0,3,0,0,1,3,13e6bbe1-ed1a-4e3d-879c-694f1bbab5a0,Basic Research Object,MANUAL,82,2,14,13
7,6,0,0,6,4,0,0,0,0,6,4,0,4,2,0,0,4,2,4,2,0,6,0,3,4,0,4,0,4,2,0,0,6,395893ed-5770-4027-a1ba-468b82d6de4a,Basic Research Object,MANUAL,68,5,12,3
8,4,0,0,4,2,0,0,0,0,4,2,0,2,2,0,0,2,2,2,2,0,4,0,1,2,0,2,0,2,2,0,1,4,9df7b289-2ac1-4c50-aa42-184df24dcafa,Data-centric Research Object,MANUAL,84,3,56,7
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d69df778-182b-4a58-b948-9e22073a7671,Executable Research Object,MANUAL,84,8,50,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7907dbf7-c03b-4e5c-b750-55410e82c5a1,Basic Research Object,MANUAL,100,6,48,7
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d9917937-2610-407d-bcdc-7b24d850c840,Basic Research Object,MANUAL,100,5,16,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e744c06f-087a-4456-9007-fd130464a2ab,Basic Research Object,MANUAL,100,4,54,4
